name,profile_url,image_url,local_path
Michael Walfish,http://www.cs.nyu.edu/~mwalfish/,https://cs.nyu.edu/media/faculty_photos/Walfish_16-0015_1156_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Michael_Walfish.jpg
Sam Westrick,http://samwestrick.com/,https://cs.nyu.edu/media/faculty_photos/westrick-headshot-2024-250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Sam_Westrick.jpg
Thomas Wies,http://cs.nyu.edu/wies/,https://cs.nyu.edu/media/faculty_photos/Wies_16-0015_0573_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Thomas_Wies.jpg
Andrew Gordon Wilson,https://cims.nyu.edu/~andrewgw,https://cs.nyu.edu/media/faculty_photos/andrewgwphoto_250x250.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Andrew_Gordon_Wilson.jpeg
Ed K Wong,https://engineering.nyu.edu/faculty/edward-wong,https://cs.nyu.edu/media/faculty_photos/ed_wong.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Ed_K_Wong.jpg
Saining Xie,http://www.sainingxie.com/,https://cs.nyu.edu/media/faculty_photos/Saining_xie.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Saining_Xie.jpeg
Sherry Yang,https://sherryy.github.io/,https://cs.nyu.edu/media/faculty_photos/sherry_1.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Sherry_Yang.jpeg
Chee Yap,https://cs.nyu.edu/~yap/,https://cs.nyu.edu/media/faculty_photos/Yap_16-0015_0061_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Chee_Yap.jpg
Sai Qian Zhang,https://saiqianzhang.com/,https://cs.nyu.edu/media/faculty_photos/sai-cropped.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Sai_Qian_Zhang.png
Denis Zorin,http://cs.nyu.edu/~dzorin/,https://cs.nyu.edu/media/faculty_photos/Zorin_16-0015_0510_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Denis_Zorin.jpg
Nadav Brandes,https://med.nyu.edu/faculty/nadav-brandes,https://cs.nyu.edu/media/faculty_photos/nadav_brandes.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Nadav_Brandes.jpg
Semiha Ergan,https://bilab.engineering.nyu.edu/,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_3.13.33PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Semiha_Ergan.png
Chen Feng,http://ai4ce.github.io/,https://cs.nyu.edu/media/faculty_photos/chen-feng.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Chen_Feng.jpg
Magdalena Fuentes,https://cs.nyu.edu/dynamic/people/faculty/Personal%20website,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.13.49PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Magdalena_Fuentes.png
Siddharth Garg,https://cs.nyu.edu/dynamic/people/faculty/EnSuRe%20Research%20Group,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_3.45.29PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Siddharth_Garg.png
Leslie Greengard,http://math.nyu.edu/faculty/greengar/index.html,https://cs.nyu.edu/media/faculty_photos/Greengard_250x250_Whz5A82.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Leslie_Greengard.jpg
Yanjun Han,https://yanjunhan2021.github.io/index.html,https://cs.nyu.edu/media/faculty_photos/yanjun-cropped.JPG,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Yanjun_Han.jpg
Mark Ho,https://as.nyu.edu/faculty/mark-ho.html,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-17_at_4.38.08PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Mark_Ho.png
Danny Yuxing Huang,https://cs.nyu.edu/dynamic/people/faculty/Lab%20WebsiteRouterSense%20WebsiteIoT%20Inspector%20WebsiteIoT%20Inspector%20(GitHub),https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_3.46.14PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Danny_Yuxing_Huang.png
Zhong-Ping Jiang,https://engineering.nyu.edu/faculty/zhong-ping-jiang,https://cs.nyu.edu/media/faculty_photos/zhongping_jiang.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Zhong-Ping_Jiang.jpg
unknown_102,,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_3.48.21PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/unknown_102.png
Qi Lei,https://cecilialeiqi.github.io/,https://cs.nyu.edu/media/faculty_photos/Qi_Lei_KjliKMY.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Qi_Lei.jpg
Marcelo Mattar,https://cs.nyu.edu/dynamic/people/faculty/NYU%20Arts%20&%20Science%20ProfileMatter%20LabCV,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.23.27PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Marcelo_Mattar.png
Daniel B Neill,https://cs.nyu.edu/dynamic/people/faculty/Personal%20websiteMachine%20Learning%20for%20Good%20Laboratory,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_3.49.03PM_O3Kjlkq.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Daniel_B_Neill.png
Oded Nov,https://wp.nyu.edu/odednovDigital%20Health%20Work,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_3.49.57PM_Ys73ZUG.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Oded_Nov.png
Akbar Rafiey,https://cs.nyu.edu/dynamic/people/faculty/Website,https://cs.nyu.edu/media/faculty_photos/akbar_rafiey.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Akbar_Rafiey.jpg
Brandon Reagen,https://brandonreagen.com/,https://cs.nyu.edu/media/faculty_photos/reagen_headshot.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Brandon_Reagen.jpg
Ludovic Righetti,https://engineering.nyu.edu/faculty/ludovic-righetti,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-18_at_4.33.16PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Ludovic_Righetti.png
Keith Ross,https://cs.nyu.edu/dynamic/people/faculty/Keith%20Ross'%20Website,https://cs.nyu.edu/media/faculty_photos/Ross_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Keith_Ross.jpg
Tamar Schlick,https://as.nyu.edu/faculty/tamar-schlick.html,https://cs.nyu.edu/media/faculty_photos/Schlick_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Tamar_Schlick.jpg
Liat Shenhav,https://med.nyu.edu/faculty/liat-shenhav,https://cs.nyu.edu/media/faculty_photos/liat_shenhav.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Liat_Shenhav.jpg
Sandra Siby,https://cs.nyu.edu/dynamic/people/faculty/Personal%20Website,https://cs.nyu.edu/media/faculty_photos/siby-sandra-sds8646-cropped.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Sandra_Siby.jpg
Georg Stadler,https://math.nyu.edu/~stadler/,https://cs.nyu.edu/media/faculty_photos/georg_office_small.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Georg_Stadler.png
Hao Su,https://haosu-robotics.github.io/,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-18_at_4.30.29PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Hao_Su.png
unknown_116,,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.00.09PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/unknown_116.png
Eugene Vinitsky,https://cs.nyu.edu/dynamic/people/faculty/Lab%20websitePersonal%20website,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.00.45PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Eugene_Vinitsky.png
Shengjie Wang,https://cs.nyu.edu/dynamic/people/faculty/Website,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.01.20PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Shengjie_Wang.png
Hongyi Wen,https://cs.nyu.edu/dynamic/people/faculty/Website,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.01.47PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Hongyi_Wen.png
Jie Xue,https://cs.nyu.edu/dynamic/people/faculty/Website,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.24.44PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Jie_Xue.png
Chen Zhao,https://cs.nyu.edu/dynamic/people/faculty/Website,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.02.17PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Chen_Zhao.png
Zhengyuan Zhou,https://cs.nyu.edu/dynamic/people/faculty/Personal%20WebsiteNYU%20Stern%20Profile,https://cs.nyu.edu/media/faculty_photos/Screenshot_2025-12-12_at_4.25.33PM.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Zhengyuan_Zhou.png
